complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1597560,Overview for Complaint #:1597560 = RESOLVED,400 EAST 71 STREET,1045808,TRANSWORLD EQUITIES,04/15/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED UNAPPROVED DESIGN CHANGES IN PRIVATELY OWNED PUBLIC SPACE, WITH MULTIPLE BRICK PLANTER BOXES AND PRIVATIZATION OF PUBLIC SPACE BY ADJACENT BUSINESS 'JUST SALAD'",2022-04-15,A8,ECB VIOLATION SERVED,2022
1597565,Overview for Complaint #:1597565 = RESOLVED,300 EAST 85 STREET,1078565,300 E 85TH HOUSING CORP,04/15/2022 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE IS MISSING REQUIRED AMENITY (BICYCLE PARKING       SPOTS).,2022-04-15,A8,ECB VIOLATION SERVED,2022
1597242,Overview for Complaint #:1597242 = RESOLVED,345 EAST 80 STREET,1076841,EAST WINDS CONDOMINIUM,04/13/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED 2 AREAS DESIGNATED AS PUBLIC PLAZA'S ALONG 81ST STREET THAT ARE LOCKED AND INACCESSIBLE TO PUBLIC.  ONE WITH A CHAIN AND LOCK ON GATE, THE OTHER WITH A LOCKED GATE.  ALL PUBLIC PLAZAS SHALL BE OPEN AND ACCESSIBLE TO THE PUBLIC.",2022-04-13,A8,ECB VIOLATION SERVED,2022
1597238,Overview for Complaint #:1597238 = RESOLVED,178 EAST 80 STREET,1047479,178 EAST 80TH STREET OWNERS IN,04/13/2022 - A8 - ECB VIOLATION SERVED,OBSERVED UNAUTHORIZED PRIVATIZATION AND UTILIZATION OF PRIVATELY OWNED PUBLIC   SPACE BY 'BICYCLES NYC' BUSINESS.,2022-04-13,A8,ECB VIOLATION SERVED,2022
1597009,Overview for Complaint #:1597009 = RESOLVED,265 EAST 66 STREET,1043873,"TOWNHOUSE COMPANY II, L.L.C.",04/11/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE NOT IN COMPLIANCE. PROHIBITIVE SIGNAGE AT E 67TH ST SIDE SAYING PRIVATE PROPERTY, ALSO ROWS OF METAL SPIKES ON HORIZONTAL SURFACES IN PUBLIC PLAZA REMOVING USABLE SEATING FOR PUBLIC.",2022-04-11,A8,ECB VIOLATION SERVED,2022
1597007,Overview for Complaint #:1597007 = RESOLVED,300 EAST 59 STREET,1040031,UNAVAILABLE OWNER,04/11/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE WITH MISSING AMENITIES, UNAPPROVED DESIGN CHANGES, MISSING GAZEBO, MISSING PUBLIC SIGNAGE AND PLAQUES AT ENTRANCES, AND OBSERVED ROWS OF METAL SPIKES ON HORIZONTAL SURFACES AT EAST 59TH STREET SIDE OF PLAZA.",2022-04-11,A8,ECB VIOLATION SERVED,2022
1596837,Overview for Complaint #:1596837 = RESOLVED,323 5 AVENUE,1087309,UNAVAILABLE OWNER,04/07/2022 - A8 - ECB VIOLATION SERVED,"ENTRANCE TO PUBLIC PLAZA CLOSED AND LOCKED ALONG 33RD ST, AND DEBRIS SUCH AS OLD CHRISTMAS TREES AND OLD BED IN PATHWAY AT REAR IN PLAZA, BROKEN HANDRAIL REMOVED FROM STEPS AND LEANING ON WALL, NOT MAINTAINED, AND NOT OPEN TO PUBLIC",2022-04-07,A8,ECB VIOLATION SERVED,2022
1596488,Overview for Complaint #:1596488 = RESOLVED,200 EAST 33 STREET,1020078,"PLAZA REALTY INVESTORS, DE 1,",04/06/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED AT CORNERS OF PRIVATELY OWNED PUBLIC SPACE, WITH ROWS OF METAL SPIKES INSTALLED TO PREVENT AND/OR INHIBIT SEATING ON HORIZONTAL SURFACES.",2022-04-06,A8,ECB VIOLATION SERVED,2022
1596730,Overview for Complaint #:1596730 = RESOLVED,201 EAST 87 STREET,1048809,CLARIDGE HOUSE LLC,04/06/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE MISSING  SCULPTURE AMENITY, AND MISSING SIGNAGE    AND/OR PLAQUE AS PER POPS REQUIREMENTS.",2022-04-06,A8,ECB VIOLATION SERVED,2022
1596357,Overview for Complaint #:1596357 = RESOLVED,555 WEST 57 STREET,1027072,GREEN W. 57TH ST. LLC,04/01/2022 - A8 - ECB VIOLATION SERVED,OBSERVED SECTION OF PLAZA AT CORNER OF 58TH STREET AND 11TH AVE WITH A CHAIN OBSTRUCTING THE PLAZA NEXT TO THE PARKING GARAGE ENTRANCE. THIS CHANGE IS NOT APPROVED BY DCP.,2022-04-01,A8,ECB VIOLATION SERVED,2022
1596356,Overview for Complaint #:1596356 = RESOLVED,285 LEXINGTON AVENUE,1018978,CARLTON REGENCY CORP (THE),04/01/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED ALONG 37TH ST SIDE OF BUILDING, HORIZONTAL SURFACES ALONG PUBLIC PLAZA HAVE 3 ROWS OF METAL SPIKES INHIBITTING SEATING AROUND PRIVATELY OWNED PUBLIC PLAZA.",2022-04-01,A8,ECB VIOLATION SERVED,2022
1596187,Overview for Complaint #:1596187 = RESOLVED,535 MADISON AVENUE,1035747,MADISON TOWER ASSOCIATES LP,04/01/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED A RESTAURANT ""NERAI"" INSTALLED AN OPEN AIR CAFE INSIDE OF THE PUBLIC   PLAZA, NO CPC CERTIFICATION/APPROVAL",2022-04-01,A8,ECB VIOLATION SERVED,2022
1596137,Overview for Complaint #:1596137 = RESOLVED,115 EAST 57 STREET,1036926,THE GALLERIA CONDOMINIUM,03/30/2022 - A8 - ECB VIOLATION SERVED,OBSERVED PUBLIC PLAZA MISSING PUBLIC SIGNAGE AND PLAQUE AT SOUTH ENTRANCE ON    57TH ST OF PRIVATELY OWNED PUBLIC SPACE,2022-03-30,A8,ECB VIOLATION SERVED,2022
1596140,Overview for Complaint #:1596140 = RESOLVED,520 MADISON AVENUE,1035727,"520 MADISON OWNERS, L.L.C. ATT",03/30/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED RESTAURANT CALL SAN PIETRO CREATED A STRUCTURE INTO THE PLAZA WITH TABLES AND CHAIRS DIMINISHING THE WIDTH OF THE SIDEWALK WITHOUT CPC APPROVAL.  ALSO, OVERHEAD PROTECTION IN PLAZA AT 53RD ST SIDE, STILL INSTALLED WITH EXPIRE PERMIT UNDER JOB 140991283",2022-03-30,A8,ECB VIOLATION SERVED,2022
1595776,Overview for Complaint #:1595776 = RESOLVED,50 EAST 89 STREET,1046957,PARK REGIS APT CORP,03/25/2022 - A8 - ECB VIOLATION SERVED,"AT RIGHT SIDE OF PLAZA A SECTION OF BRICKS AND STEPS WERE IN DISREPAIR, LOOSE AND CRACKED AND OR MISSING CREATING A TRIPPING HAZARD INSIDE THE PRIVATELY OWNED PUBLIC SPACE.",2022-03-25,A8,ECB VIOLATION SERVED,2022
1595608,Overview for Complaint #:1595608 = RESOLVED,40 EAST 94 STREET,1047171,UNAVAILABLE OWNER,03/25/2022 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA HAS BEEN CLOSED DUE TO ONGOING REPAIRS TO SIDEWALKS AROUND BUILDING UNDER DOT PERMIT M02-2022045-B34.  INSIDE OF PLAZA SEVERAL LIGHT POSTS HAVE BROKEN GLASS AND/OR MISSING GLASS AT TOP OF LIGHT POSTS.,2022-03-25,A8,ECB VIOLATION SERVED,2022
1595317,Overview for Complaint #:1595317 = RESOLVED,200 WATER STREET,1001163,200 WATER SPE L.L.C.,03/21/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED POPS WITH NON APPROVED DESIGN CHANGES MISSING AMENITIES AT NORTH SIDE ALONG PEARL STREET, MISSING FIXED METAL CHAIRS, ARTWORK AND WATER FEATURE.",2022-03-21,A8,ECB VIOLATION SERVED,2022
1595322,Overview for Complaint #:1595322 = RESOLVED,59 MAIDEN LANE,1079043,59 MAIDEN LANE ASSOC LLC,03/21/2022 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE HAD NO SIGNAGE AS PER POPS REQUIREMENTS,2022-03-21,A8,ECB VIOLATION SERVED,2022
1595189,Overview for Complaint #:1595189 = RESOLVED,420 EAST 54 STREET,1040158,"RIVER TOWER OWNER, LLC",03/18/2022 - A8 - ECB VIOLATION SERVED,OBSERVED PRIVATELY OWNED PUBLIC SPACE WITH FENCE BUILT AT REAR ON RIGHT SIDE OF BUILDING BLOCKING OFF ACCESS TO ARCADE CONTRARY TO POPS APPROVED PLAN.,2022-03-18,A8,ECB VIOLATION SERVED,2022
1595188,Overview for Complaint #:1595188 = RESOLVED,1 CENTRAL PARK WEST,1027191,BOARD OF MANAGERS OF TIHT COND,03/18/2022 - A8 - ECB VIOLATION SERVED,OBSERVED PRIVATELY OWNED PUBLIC SPACE WITHOUT ANY SIGNAGE POSTED FOR THE PUBLIC AS REQUIRED.,2022-03-18,A8,ECB VIOLATION SERVED,2022
1595093,Overview for Complaint #:1595093 = RESOLVED,111 EAST 85 STREET,1047928,KREISEL CO INC,03/16/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION PRIVATELY OWNED SPACE (POPS) NON COMPLIANT DESIGN CHANGES MADE TO PLAZA WITH OUT CPC APPROVAL. REMOVED SEATING. SPIKES ON PLANTERS.,2022-03-16,A8,ECB VIOLATION SERVED,2022
1594811,Overview for Complaint #:1594811 = RESOLVED,885 3 AVENUE,1038549,885 3RD AVENUE REALTY OWNER LL,03/15/2022 - A8 - ECB VIOLATION SERVED,PLANTINGS MISSING NEAR SUBWAY STAIRS. THIS IS A REQUIRED AMENITY IN DCP RECORDS.,2022-03-15,A8,ECB VIOLATION SERVED,2022
1594988,Overview for Complaint #:1594988 = RESOLVED,212 EAST 42 STREET,1037547,DK WGC FEE OWNER LLC,03/15/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION NOTED FAILURE TO MAINTAIN PRIVATELY OWNED PUBLIC SPACE (POPS) LOOSE HANDRAILS /BROKEN MASONRY STEPS/ BROKEN BENCHES/ LOOSE EXPOSED ELECTRICAL WIRES THROUGHOUT POPS,2022-03-15,A8,ECB VIOLATION SERVED,2022
1594984,Overview for Complaint #:1594984 = RESOLVED,301 EAST 45 STREET,1038781,301 E 45 ST CONDO,03/15/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION NOTED FAILURE TO MAINTAIN PRIVATELY OWNED PUBLIC SPACE (POPS) MISSING AND OR DEFECTIVE MASONRY THROUGH OUT POPS ALSO ACCUMULATION OF GARBAGE AND HOUSEHOLD FURNISHINGS BEHIND MASONRY PLANTERS,2022-03-15,A8,ECB VIOLATION SERVED,2022
1594537,Overview for Complaint #:1594537 = RESOLVED,200 EAST 24 STREET,1019782,CRYSTAL HOUSE OWNERS INC C/O M,03/11/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION NOTED PRIVATELY OWNED PUBLIC SPACE (POPS) NON COMPLIANT APPROX. 250 LF METAL SPIKES ATTACHED TO MASONRY PLANTER EDGES,2022-03-11,A8,ECB VIOLATION SERVED,2022
3826753,Overview for Complaint #:3826753 = RESOLVED,1809 EMMONS AVENUE,3247051,UNAVAILABLE OWNER,03/01/2022 - A8 - ECB VIOLATION SERVED,AT TIME OF INSPECTION 2 EATING ESTABLISHMENT IN POPS NO DESIGN CHANGES ON FILE  WITH CPC.,2022-03-01,A8,ECB VIOLATION SERVED,2022
1593776,Overview for Complaint #:1593776 = RESOLVED,347 WEST 57 STREET,1026058,THE COLONNADE CONDOMINIUM,03/01/2022 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE NON COMPLIANT TO NYC ZONING RESOLUTION. NO REQUIRED POPS SIGNAGE AND INSTALLATION OF METAL SPIKES OBSTRUCTING SEATING.,2022-03-01,A8,ECB VIOLATION SERVED,2022
